"","x"
"1",-0.0992003
"2",-0.6012986
"3",0.7998003
"4",-0.79440959
"5",0.7979992
"6",-0.81954047
"7",0.80519638
"8",-0.71911745
"9",0.77643646
"10",-1.12040796
"11",0.89136113
"12",0.21630258
"13",-1.03118546
"14",0.86580891
"15",0.12661612
"16",-1.18178968
"17",0.92907773
"18",0.14120794
"19",0.02081618
"20",-0.90981688
"21",0.86850842
"22",0.16428271
"23",-1.27861667
"24",0.95064144
"25",0.09827408
"26",0.19644987
"27",-0.75306859
"28",0.78615965
"29",-0.98473917
"30",0.85250726
"31",-0.05898332
"32",-0.7046817
"33",0.82282409
"34",-0.47315607
"35",0.36000433
"36",-0.71964865
"37",0.82615727
"38",-0.42664761
"39",0.24044819
"40",-0.48065595
"41",0.77293276
"42",-1.16929559
"43",0.90536195
"44",0.18842662
"45",-0.64067082
"46",0.75397031
"47",-1.43388077
"48",0.9811359
"49",0.03755888
"50",0.07508021
"51",0.15008534
"52",-0.10354729
"53",-0.59012409
"54",0.79731169
"55",-0.82913333
"56",0.80794365
"57",-0.68078435
"58",0.76545833
"59",-1.27358705
"60",0.93522975
"61",0.12895913
"62",0.19240999
"63",-1.35092157
"64",0.966744
"65",0.0662135
"66",0.13236077
"67",0.14475633
"68",-1.22842149
"69",0.9394628
"70",0.12053102
"71",0.24094152
"72",-1.37635261
"73",0.96466054
"74",0.07036172
"75",0.14065307
"76",0.02858942
"77",-0.92979905
"78",0.87295852
"79",0.22637549
"80",-1.4382344
"81",0.98618888
"82",0.02749827
"83",0.05496905
"84",0.10988314
"85",0.21965638
"86",-1.07816887
"87",0.87926438
"88",0.24038751
"89",-1.36859162
"90",0.96243789
"91",0.07478707
"92",0.14949935
"93",-0.09533819
"94",-0.61122667
"95",0.80201132
"96",-0.76355903
"97",0.78916398
"98",-0.94281936
"99",0.84050194
"100",-0.22649489
"101",-0.27407096
"102",0.54786785
"103",-1.09518784
"104",0.90979119
"105",0.1796079
"106",-0.51712926
"107",0.47304327
"108",-0.9456135
"109",0.87648045
"110",0.24593038
"111",-1.44624161
"112",0.98467589
"113",0.03051067
"114",0.06099082
"115",0.12192066
"116",0.2437194
"117",-1.41526799
"118",0.97580542
"119",0.04817197
"120",0.09629578
"121",0.19249525
"122",-0.69766828
"123",0.77029368
"124",-1.20611885
"125",0.91590768
"126",0.16742982
"127",-0.34652641
"128",0.034486
"129",-0.06893752
"130",0.13780611
"131",-0.27547441
"132",0.55067334
"133",-1.100796
"134",0.91104015
"135",0.17712119
"136",-0.48229299
"137",0.38349202
"138",-0.76660054
"139",0.83661363
"140",-0.28074896
"141",-0.13460366
"142",0.26907273
"143",-0.53787638
"144",0.78567595
"145",-0.99148834
"146",0.85444014
"147",-0.03201362
"148",-0.77401088
"149",0.83826394
"150",-0.25772201
"151",-0.19379752
"152",0.38740125
"153",-0.7744151
"154",0.83835396
"155",-0.2564659
"156",-0.1970265
"157",0.39385598
"158",-0.78731811
"159",0.8412275
"160",-0.21637098
"161",-0.3000958
"162",0.59989149
"163",-1.19918308
"164",0.9329513
"165",0.13349557
"166",0.12885895
"167",-1.18755518
"168",0.93036173
"169",0.13865148
"170",0.05662978
"171",-1.00188052
"172",0.88901132
"173",0.22098112
"174",-1.09672721
"175",0.88457926
"176",0.22980546
"177",-1.22034751
"178",0.9199826
"179",0.15931657
"180",-0.23286775
"181",-0.25768868
"182",0.51511968
"183",-1.02972425
"184",0.89521222
"185",0.20863499
"186",-0.92377013
"187",0.83504648
"188",-0.30261565
"189",-0.07839244
"190",0.1567065
"191",-0.31325628
"192",0.62619931
"193",-1.25177243
"194",0.94466314
"195",0.11017703
"196",0.22024388
"197",-1.08639918
"198",0.88162144
"199",0.23569455
"200",-1.30284787
"201",0.94360969
"202",0.11227447
"203",0.22443666
"204",-1.14513592
"205",0.89844292
"206",0.20220258
"207",-0.83365841
"208",0.80923958
"209",-0.66270216
"210",0.76027982
"211",-1.34584351
"212",0.95592311
"213",0.08775815
"214",0.17542854
"215",-0.45858056
"216",0.32253605
"217",-0.64474956
"218",0.80947698
"219",-0.65938969
"220",0.75933116
"221",-1.35908013
"222",0.95971391
"223",0.08021056
"224",0.16034092
"225",-0.24721778
"226",-0.22080005
"227",0.44137928
"228",-0.88231718
"229",0.86238414
"230",0.07882993
"231",-1.05894893
"232",0.90172065
"233",0.19567653
"234",-0.74223487
"235",0.78305701
"236",-1.02803071
"237",0.86490543
"238",0.11400971
"239",-1.14938324
"240",0.9218607
"241",0.15557722
"242",-0.1804832
"243",-0.39235011
"244",0.75326673
"245",-1.44369791
"246",0.9839474
"247",0.0319611
"248",0.06389024
"249",0.1277166
"250",0.20981674
"251",-1.39566794
"252",0.97670917
"253",0.04637259
"254",0.0926988
"255",0.1853049
"256",-0.59693859
"257",0.67820375
"258",-1.35572928
"259",0.96781469
"260",0.06408171
"261",0.12809935
"262",0.20445471
"263",-1.38188411
"264",0.97363947
"265",0.05248445
"266",0.10491643
"267",0.20972793
"268",-0.93908109
"269",0.83943135
"270",-0.24143305
"271",-0.23567044
"272",0.47110521
"273",-0.94173932
"274",0.87561766
"275",0.24764822
"276",-1.47030691
"277",0.9915679
"278",0.01678852
"279",0.03356025
"280",0.06708694
"281",0.13410681
"282",0.12029618
"283",-1.16554344
"284",0.92545963
"285",0.14841166
"286",-0.08010072
"287",-0.65039662
"288",0.81073461
"289",-0.64184199
"290",0.75430572
"291",-1.42920078
"292",0.9797956
"293",0.04022743
"294",0.08041464
"295",0.16074886
"296",-0.2529328
"297",-0.2061088
"298",0.4120115
"299",-0.82361099
"300",0.84931006
"301",-0.1035942
"302",-0.5900035
"303",0.79728484
"304",-0.82950807
"305",0.80805098
"306",-0.67928694
"307",0.76502949
"308",-1.27957071
"309",0.93694339
"310",0.12554722
"311",0.24020749
"312",-1.47379138
"313",0.99410754
"314",0.01173202
"315",0.02345231
"316",0.04688117
"317",0.09371546
"318",0.1873372
"319",-0.6254091
"320",0.74959954
"321",-1.49486663
"322",0.9986015
"323",0.00278445
"324",0.00556611
"325",0.01112666
"326",0.02224219
"327",0.04446215
"328",0.08887983
"329",0.17767079
"330",-0.48999215
"331",0.40328371
"332",-0.80616413
"333",0.84542458
"334",-0.15780872
"335",-0.45063788
"336",0.76624762
"337",-1.26257398
"338",0.93207573
"339",0.13523883
"340",0.10443761
"341",-1.12477687
"342",0.91638077
"343",0.16648789
"344",-0.33333083
"345",0.00056501
"346",-0.00112945
"347",0.00225778
"348",-0.0045133
"349",0.00902209
"350",-0.01803515
"351",0.03605227
"352",-0.07206849
"353",0.14406492
"354",-0.28798577
"355",0.57568355
"356",-1.15079143
"357",0.92217431
"358",0.15495282
"359",-0.17173594
"360",-0.41483611
"361",0.75827444
"362",-1.3738247
"363",0.96393658
"364",0.07180314
"365",0.14353448
"366",-0.01177625
"367",-0.82603374
"368",0.84984961
"369",-0.09606569
"370",-0.60935652
"371",0.80159483
"372",-0.76937037
"373",0.79082828
"374",-0.91959723
"375",0.83385141
"376",-0.31929058
"377",-0.03552733
"378",0.07101913
"379",-0.14196723
"380",0.2837925
"381",-0.56730121
"382",0.79222896
"383",-0.90005339
"384",0.82825429
"385",-0.39738775
"386",0.16523183
"387",-0.33029843
"388",0.66026655
"389",-1.31987283
"390",0.95982934
"391",0.07998076
"392",0.15988153
"393",-0.24078233
"394",-0.2373432
"395",0.47444906
"396",-0.94842367
"397",0.87710629
"398",0.24468433
"399",-1.4287857
"400",0.97967673
"401",0.04046412
"402",0.08088777
"403",0.16169465
"404",-0.26618232
"405",-0.17204915
"406",0.34392624
"407",-0.68750855
"408",0.81899956
"409",-0.52652004
"410",0.49718351
"411",-0.99386983
"412",0.88722731
"413",0.22453313
"414",-1.1464873
"415",0.89882993
"416",0.20143202
"417",-0.82286357
"418",0.80614807
"419",-0.70583832
"420",0.77263348
"421",-1.17347134
"422",0.90655783
"423",0.18604559
"424",-0.60731489
"425",0.7048774
"426",-1.40904992
"427",0.97968939
"428",0.04043891
"429",0.08083739
"430",0.16159393
"431",-0.26477136
"432",-0.1756762
"433",0.35117672
"434",-0.70200226
"435",0.82222736
"436",-0.48148217
"437",0.38140768
"438",-0.76243395
"439",0.83568572
"440",-0.29369623
"441",-0.101321
"442",0.20254068
"443",-0.40487882
"444",0.75605691
"445",-1.40476608
"446",0.9727978
"447",0.05416021
"448",0.10826626
"449",0.21642426
"450",-1.03289002
"451",0.86629707
"452",0.13342755
"453",-1.19929937
"454",0.93297719
"455",0.13344401
"456",0.12958131
"457",-1.18941209
"458",0.93077526
"459",0.13782811
"460",0.06816439
"461",-1.03153175
"462",0.89561475
"463",0.20783353
"464",-0.9125424
"465",0.83183099
"466",-0.34748166
"467",0.0369416
"468",-0.07384626
"469",0.14761867
"470",-0.29508972
"471",0.58988435
"472",-1.17917882
"473",0.92849628
"474",0.14236562
"475",0.00459832
"476",-0.86812675
"477",0.85922388
"478",0.03473447
"479",-0.94559571
"480",0.87647649
"481",0.24593827
"482",-1.44635215
"483",0.98470755
"484",0.03044764
"485",0.06086483
"486",0.1216688
"487",0.24321592
"488",-1.40821483
"489",0.97378549
"490",0.05219372
"491",0.10433525
"492",0.20856616
"493",-0.92280587
"494",0.83477032
"495",-0.30646882
"496",-0.06848736
"497",0.13690623
"498",-0.27367555
"499",0.54707743
"500",-1.09360779
"501",0.90943931
"502",0.1803085
"503",-0.52694405
"504",0.4982735
"505",-0.99604872
"506",0.88771255
"507",0.223567
"508",-1.1329527
"509",0.89495379
"510",0.20914952
"511",-0.93097806
"512",0.83711074
"513",-0.27381277
"514",-0.15243407
"515",0.3047157
"516",-0.60912668
"517",0.80154364
"518",-0.77008456
"519",0.79103282
"520",-0.91674333
"521",0.83303408
"522",-0.33069475
"523",-0.00621138
"524",0.01241655
"525",-0.02482068
"526",0.04961654
"527",-0.09918347
"528",0.19826776
"529",-0.39633725
"530",0.75415468
"531",-1.43130823
"532",0.98039915
"533",0.03902576
"534",0.07801249
"535",0.15594696
"536",-0.18566287
"537",-0.37903509
"538",0.75030143
"539",-1.48507313
"540",0.99579676
"541",0.00836875
"542",0.01672914
"543",0.03344155
"544",0.06684966
"545",0.13363247
"546",0.1269411
"547",-1.1826251
"548",0.92926378
"549",0.14083751
"550",0.02600561
"551",-0.92315701
"552",0.87147931
"553",0.20573597
"554",-1.38517776
"555",0.97437298
"556",0.05102402
"557",0.10199702
"558",0.20389205
"559",-0.85732612
"560",0.81601772
"561",-0.56812596
"562",0.60413706
"563",-1.20766998
"564",0.93484136
"565",0.1297324
"566",0.18157717
"567",-1.32307435
"568",0.96054233
"569",0.07856117
"570",0.1570438
"571",-0.20102839
"572",-0.33953599
"573",0.67873245
"574",-1.35678618
"575",0.96805007
"576",0.06361308
"577",0.12716254
"578",0.21757845
"579",-1.41562042
"580",0.98115266
"581",0.0375255
"582",0.07501346
"583",0.14995193
"584",-0.10167828
"585",-0.59492863
"586",0.79838168
"587",-0.81420368
"588",0.80366799
"589",-0.74044329
"590",0.78254392
"591",-1.03518989
"592",0.86695573
"593",0.14261782
"594",-1.22292418
"595",0.93823853
"596",0.12296857
"597",0.24581419
"598",-1.44461386
"599",0.98420973
"600",0.03143882
"601",0.06284621
"602",0.12562957
"603",0.23905379
"604",-1.47082564
"605",0.99344707
"606",0.01304706
"607",0.02608107
"608",0.05213605
"609",0.10421996
"610",0.2083357
"611",-0.91957739
"612",0.83384573
"613",-0.31936981
"614",-0.03532365
"615",0.07061198
"616",-0.14115335
"617",0.28216556
"618",-0.56404895
"619",0.79150467
"620",-0.91015948
"621",0.83114855
"622",-0.35700379
"623",0.06141949
"624",-0.12277755
"625",0.24543233
"626",-0.49061922
"627",0.77515161
"628",-1.13833562
"629",0.89649539
"630",0.20608015
"631",-0.88797923
"632",0.8247964
"633",-0.44563612
"634",0.28926067
"635",-0.57823208
"636",0.7946633
"637",-0.8660867
"638",0.81852665
"639",-0.5331187
"640",0.51414625
"641",-1.02777836
"642",0.89477886
"643",0.20949781
"644",-0.93585735
"645",0.8385081
"646",-0.25431508
"647",-0.20255546
"648",0.40490837
"649",-0.80941184
"650",0.84614786
"651",-0.14771673
"652",-0.47658069
"653",0.77202518
"654",-1.1819591
"655",0.90898863
"656",0.18120582
"657",-0.53951462
"658",0.53058781
"659",-1.06064503
"660",0.90209838
"661",0.19492446
"662",-0.73169912
"663",0.7800397
"664",-1.07013158
"665",0.87696259
"666",0.24497042
"667",-1.43279354
"668",0.98082453
"669",0.03817882
"670",0.07631947
"671",0.15256262
"672",-0.13825157
"673",-0.50091212
"674",0.77744387
"675",-1.10635138
"676",0.8873355
"677",0.22431771
"678",-1.14346949
"679",0.89796567
"680",0.20315279
"681",-0.84696981
"682",0.81305181
"683",-0.60950982
"684",0.71051976
"685",-1.42032901
"686",0.98220129
"687",0.03543767
"688",0.07083991
"689",0.14160898
"690",0.01519812
"691",-0.89537493
"692",0.86529214
"693",0.1194057
"694",-1.16325433
"695",0.92494983
"696",0.14942667
"697",-0.09431999
"698",-0.61384408
"699",0.80259422
"700",-0.75542566
"701",0.78683469
"702",-0.97532031
"703",0.84980981
"704",-0.09662106
"705",-0.60792888
"706",0.80127689
"707",-0.77380661
"708",0.79209876
"709",-0.90187003
"710",0.82877455
"711",-0.39012842
"712",0.14657076
"713",-0.29299495
"714",0.5856969
"715",-1.1708081
"716",0.92663209
"717",0.14607727
"718",-0.04739819
"719",-0.7344628
"720",0.82945644
"721",-0.38061405
"722",0.1221128
"723",-0.24410349
"724",0.48796289
"725",-0.97543782
"726",0.88312243
"727",0.23270604
"728",-1.26098163
"729",0.93161971
"730",0.1361468
"731",0.09171778
"732",-1.09207886
"733",0.90909881
"734",0.18098645
"735",-0.53644137
"736",0.52268761
"737",-1.04485253
"738",0.89858134
"739",0.20192699
"740",-0.82979763
"741",0.8081339
"742",-0.67812983
"743",0.76469811
"744",-1.2841945
"745",0.93826759
"746",0.12291071
"747",0.24569852
"748",-1.44299349
"749",0.98374567
"750",0.03236277
"751",0.06469316
"752",0.12932165
"753",0.18733155
"754",-1.33786677
"755",0.96383665
"756",0.07200209
"757",0.14393219
"758",-0.01734772
"759",-0.81171153
"760",0.84666001
"761",-0.14057067
"762",-0.49495059
"763",0.77611622
"764",-1.12487629
"765",0.89264081
"766",0.21375472
"767",-0.99549248
"768",0.85558688
"769",-0.01601304
"770",-0.81514251
"771",0.8474241
"772",-0.12990923
"773",-0.52235722
"774",0.78221977
"775",-1.03971269
"776",0.868251
"777",0.16069098
"778",-1.26938364
"779",0.94858522
"780",0.10236807
"781",0.20463378
"782",-0.86771712
"783",0.81899358
"784",-0.52660351
"785",0.49739809
"786",-0.99429877
"787",0.88732283
"788",0.22434293
"789",-1.14382285
"790",0.89806688
"791",0.2029513
"792",-0.84414722
"793",0.81224345
"794",-0.62078889
"795",0.73951412
"796",-1.47828874
"797",0.99510913
"798",0.00973786
"799",0.01946598
"800",0.03891249
"801",0.07778607
"802",0.15549434
"803",-0.17932218
"804",-0.39533466
"805",0.7539314
"806",-1.43442367
"807",0.98129137
"808",0.03724932
"809",0.07446138
"810",0.14884831
"811",-0.08621773
"812",-0.63467202
"813",0.80723268
"814",-0.69070474
"815",0.76829941
"816",-1.23394515
"817",0.92387679
"818",0.15156313
"819",-0.12424975
"820",-0.53690565
"821",0.78545976
"822",-0.9945048
"823",0.85530402
"824",-0.01995985
"825",-0.8049967
"826",0.84516459
"827",-0.1614364
"828",-0.44131245
"829",0.76417082
"830",-1.29155192
"831",0.94037466
"832",0.11871547
"833",0.23731224
"834",-1.32550994
"835",0.95009982
"836",0.09935244
"837",0.19860555
"838",-0.78326741
"839",0.79480822
"840",-0.86406467
"841",0.81794756
"842",-0.5411987
"843",0.53491696
"844",-1.06929899
"845",0.90402565
"846",0.19108722
"847",-0.67794327
"848",0.76464468
"849",-1.28494
"850",0.93848109
"851",0.12248562
"852",0.24484876
"853",-1.43108918
"854",0.98033642
"855",0.03915066
"856",0.07826216
"857",0.15644608
"858",-0.19265491
"859",-0.36106113
"860",0.72176121
"861",-1.44280066
"862",0.9872058
"863",0.02547356
"864",0.05092165
"865",0.10179236
"866",0.20348293
"867",-0.85159481
"868",0.81437635
"869",-0.59102832
"870",0.66301061
"871",-1.3253582
"872",0.96105094
"873",0.0775485
"874",0.15501945
"875",-0.17266928
"876",-0.41243684
"877",0.75774012
"878",-1.38128026
"879",0.96607176
"880",0.06755195
"881",0.13503634
"882",0.10727421
"883",-1.13206873
"884",0.91800469
"885",0.16325462
"886",-0.28803586
"887",-0.11587173
"888",0.23162758
"889",-0.46302354
"890",0.76900596
"891",-1.22408669
"892",0.92105345
"893",0.15718447
"894",-0.20299921
"895",-0.33446971
"896",0.66860494
"897",-1.33654127
"898",0.96354145
"899",0.07258984
"900",0.14510707
"901",-0.03380676
"902",-0.76940136
"903",0.83723738
"904",-0.27204566
"905",-0.15697666
"906",0.31379635
"907",-0.6272789
"908",0.8055862
"909",-0.71367819
"910",0.77487872
"911",-1.14214322
"912",0.89758585
"913",0.20390903
"914",-0.85756409
"915",0.81608588
"916",-0.56717506
"917",0.60169263
"918",-1.20278356
"919",0.93375314
"920",0.13189909
"921",0.15122408
"922",-1.24504772
"923",0.94316552
"924",0.11315881
"925",0.22620447
"926",-1.16990115
"927",0.90553537
"928",0.18808133
"929",-0.63583354
"930",0.75258497
"931",-1.45321053
"932",0.9866717
"933",0.02653696
"934",0.05304738
"935",0.10604172
"936",0.21197739
"937",-0.97059383
"938",0.84845621
"939",-0.11550808
"940",-0.55937729
"941",0.79046427
"942",-0.92467622
"943",0.83530597
"944",-0.29899488
"945",-0.08770012
"946",0.17531255
"947",-0.35044979
"948",0.70054912
"949",-1.40039769
"950",0.97776251
"951",0.04427538
"952",0.08850648
"953",0.17692447
"954",-0.47953692
"955",0.37640715
"956",-0.75243788
"957",0.83345955
"958",-0.3247581
"959",-0.02147234
"960",0.04292321
"961",-0.0858035
"962",0.17152119
"963",-0.34287086
"964",0.68539884
"965",-1.37011229
"966",0.97101784
"967",0.05770417
"968",0.11535064
"969",0.23058593
"970",-1.23128099
"971",0.9231138
"972",0.15308225
"973",-0.14553106
"974",-0.48219922
"975",0.77327644
"976",-1.16450002
"977",0.90398856
"978",0.19116108
"979",-0.67897783
"980",0.76494096
"981",-1.28080591
"982",0.93729714
"983",0.1248429
"984",0.24956095
"985",-1.49710241
"986",0.9992418
"987",0.0015096
"988",0.00301769
"989",0.00603235
"990",0.01205867
"991",0.02410529
"992",0.04818647
"993",0.09632475
"994",0.19255318
"995",-0.69847977
"996",0.77052608
"997",-1.20287614
"998",0.91497901
"999",0.16927883
